start,startPosition,frequency
81,"[58.59506226, 43.15229034, 152.1497955]",20
92,"[51.61279297, 68.16239166, 169.7157898]",14
91,"[53.56635666, 57.96323395, 167.4579163]",20
75,"[41.41545105, 63.59588242, 153.7163696]",21
83,"[46.60237122, 60.04891205, 160.5887146]",34
76,"[38.3068924, 73.96008301, 156.2806091]",9
93,"[53.16075134, 77.81087494, 171.5006256]",1
85,"[46.25086975, 81.35145569, 166.1690979]",3
70,"[38.61865616, 99.38539124, 155.8343048]",5
59,"[61.01449585, 164.7238617, 161.7114258]",11
63,"[51.2840004, 165.7919006, 152.2144318]",4
58,"[59.44711685, 171.0057678, 156.4195709]",5
61,"[55.12334442, 175.8678894, 138.8725739]",1
60,"[58.11058807, 179.6183167, 132.4685059]",2
90,"[57.71652222, 49.43274689, 163.1681366]",18
79,"[46.01379776, 104.5724182, 166.0837097]",8
80,"[47.95235062, 114.578186, 168.8221741]",4
87,"[49.53035736, 99.92474365, 171.1462555]",1
71,"[42.56768036, 109.0180054, 158.2352905]",5
72,"[44.20722198, 119.0409088, 160.3303223]",17
78,"[43.03504944, 94.88861084, 162.0728912]",5
16,"[64.83947754, 153.8170471, 109.4194031]",5
84,"[45.83430099, 71.89839172, 163.7348938]",8
57,"[59.63084793, 175.063736, 149.9863586]",3
40,"[54.50421906, 66.29293823, 72.03175354]",3
64,"[53.52826309, 158.8329773, 158.2172852]",1
77,"[40.96482849, 84.51644135, 159.3578491]",1
94,"[54.0082016, 87.26881409, 174.2900696]",1
111,"[37.79614639, 122.8765488, 130.7914734]",2
95,"[56.42819214, 97.26829529, 177.4585419]",1
74,"[47.07555389, 53.91043854, 149.5325928]",8
45,"[120.5362473, 44.73541641, 83.17926025]",2
82,"[51.80251312, 50.55010223, 156.5683746]",4
118,"[32.5107193, 107.2374268, 133.7828674]",2
62,"[52.44224548, 170.8167877, 146.372757]",3
88,"[54.26541901, 110.3771667, 173.8651886]",1
119,"[35.56945419, 117.6499405, 136.7276917]",1
41,"[49.3511467, 70.0541687, 80.31544495]",1
11,"[60.28677368, 160.8241577, 110.6608505]",6
48,"[77.87369537, 31.06650925, 91.66160583]",2
47,"[104.0976868, 44.3182106, 91.0843811]",1
