start,startPosition,frequency
37,"[79.42001343, 61.13600922, 55.47006226]",1
72,"[44.20722198, 119.0409088, 160.3303223]",7
71,"[42.56768036, 109.0180054, 158.2352905]",7
79,"[46.01379776, 104.5724182, 166.0837097]",6
87,"[49.53035736, 99.92474365, 171.1462555]",4
78,"[43.03504944, 94.88861084, 162.0728912]",6
70,"[38.61865616, 99.38539124, 155.8343048]",6
85,"[46.25086975, 81.35145569, 166.1690979]",4
89,"[63.97809601, 42.09529877, 158.5378723]",3
81,"[58.59506226, 43.15229034, 152.1497955]",5
82,"[51.80251312, 50.55010223, 156.5683746]",1
59,"[61.01449585, 164.7238617, 161.7114258]",3
58,"[59.44711685, 171.0057678, 156.4195709]",4
63,"[51.2840004, 165.7919006, 152.2144318]",4
64,"[53.52826309, 158.8329773, 158.2172852]",4
61,"[55.12334442, 175.8678894, 138.8725739]",3
57,"[59.63084793, 175.063736, 149.9863586]",5
62,"[52.44224548, 170.8167877, 146.372757]",4
15,"[44.11364746, 149.526535, 128.9738159]",2
111,"[37.79614639, 122.8765488, 130.7914734]",2
19,"[49.99071884, 146.2094421, 119.2557526]",3
95,"[56.42819214, 97.26829529, 177.4585419]",4
80,"[47.95235062, 114.578186, 168.8221741]",3
88,"[54.26541901, 110.3771667, 173.8651886]",4
76,"[38.3068924, 73.96008301, 156.2806091]",1
39,"[59.72214127, 62.80955505, 65.33495331]",1
60,"[58.11058807, 179.6183167, 132.4685059]",4
119,"[35.56945419, 117.6499405, 136.7276917]",2
14,"[48.48796844, 151.4735107, 121.1464615]",1
118,"[32.5107193, 107.2374268, 133.7828674]",2
110,"[33.60301971, 113.0844498, 127.6641922]",2
77,"[40.96482849, 84.51644135, 159.3578491]",3
55,"[66.18732452, 184.2788849, 136.6307373]",1
102,"[35.51337051, 117.5408096, 121.3166046]",1
103,"[40.78121948, 126.900856, 125.0102386]",1
86,"[47.44469452, 90.94404602, 168.2020874]",1
11,"[60.28677368, 160.8241577, 110.6608505]",1
106,"[37.85590363, 75.73469543, 113.4111862]",1
