start,startPosition,frequency
74,"[47.07555389, 53.91043854, 149.5325928]",5
81,"[58.59506226, 43.15229034, 152.1497955]",13
70,"[38.61865616, 99.38539124, 155.8343048]",4
72,"[44.20722198, 119.0409088, 160.3303223]",7
80,"[47.95235062, 114.578186, 168.8221741]",3
79,"[46.01379776, 104.5724182, 166.0837097]",6
78,"[43.03504944, 94.88861084, 162.0728912]",3
64,"[53.52826309, 158.8329773, 158.2172852]",2
85,"[46.25086975, 81.35145569, 166.1690979]",3
71,"[42.56768036, 109.0180054, 158.2352905]",6
11,"[60.28677368, 160.8241577, 110.6608505]",1
59,"[61.01449585, 164.7238617, 161.7114258]",8
95,"[56.42819214, 97.26829529, 177.4585419]",1
83,"[46.60237122, 60.04891205, 160.5887146]",17
75,"[41.41545105, 63.59588242, 153.7163696]",2
110,"[33.60301971, 113.0844498, 127.6641922]",3
77,"[40.96482849, 84.51644135, 159.3578491]",2
91,"[53.56635666, 57.96323395, 167.4579163]",11
50,"[66.89678955, 34.4570961, 102.012619]",1
16,"[64.83947754, 153.8170471, 109.4194031]",3
90,"[57.71652222, 49.43274689, 163.1681366]",5
92,"[51.61279297, 68.16239166, 169.7157898]",5
60,"[58.11058807, 179.6183167, 132.4685059]",4
45,"[120.5362473, 44.73541641, 83.17926025]",9
57,"[59.63084793, 175.063736, 149.9863586]",1
37,"[79.42001343, 61.13600922, 55.47006226]",2
82,"[51.80251312, 50.55010223, 156.5683746]",2
55,"[66.18732452, 184.2788849, 136.6307373]",2
89,"[63.97809601, 42.09529877, 158.5378723]",3
93,"[53.16075134, 77.81087494, 171.5006256]",1
84,"[45.83430099, 71.89839172, 163.7348938]",3
63,"[51.2840004, 165.7919006, 152.2144318]",1
48,"[77.87369537, 31.06650925, 91.66160583]",1
118,"[32.5107193, 107.2374268, 133.7828674]",2
87,"[49.53035736, 99.92474365, 171.1462555]",1
