start,startPosition,frequency
84,"[45.83430099, 71.89839172, 163.7348938]",23
92,"[51.61279297, 68.16239166, 169.7157898]",17
81,"[58.59506226, 43.15229034, 152.1497955]",16
83,"[46.60237122, 60.04891205, 160.5887146]",23
91,"[53.56635666, 57.96323395, 167.4579163]",9
75,"[41.41545105, 63.59588242, 153.7163696]",6
72,"[44.20722198, 119.0409088, 160.3303223]",15
110,"[33.60301971, 113.0844498, 127.6641922]",3
59,"[61.01449585, 164.7238617, 161.7114258]",13
70,"[38.61865616, 99.38539124, 155.8343048]",10
58,"[59.44711685, 171.0057678, 156.4195709]",10
63,"[51.2840004, 165.7919006, 152.2144318]",8
62,"[52.44224548, 170.8167877, 146.372757]",9
88,"[54.26541901, 110.3771667, 173.8651886]",4
87,"[49.53035736, 99.92474365, 171.1462555]",4
15,"[44.11364746, 149.526535, 128.9738159]",2
14,"[48.48796844, 151.4735107, 121.1464615]",3
89,"[63.97809601, 42.09529877, 158.5378723]",5
118,"[32.5107193, 107.2374268, 133.7828674]",3
78,"[43.03504944, 94.88861084, 162.0728912]",11
79,"[46.01379776, 104.5724182, 166.0837097]",7
80,"[47.95235062, 114.578186, 168.8221741]",4
90,"[57.71652222, 49.43274689, 163.1681366]",4
94,"[54.0082016, 87.26881409, 174.2900696]",2
95,"[56.42819214, 97.26829529, 177.4585419]",2
60,"[58.11058807, 179.6183167, 132.4685059]",6
82,"[51.80251312, 50.55010223, 156.5683746]",3
74,"[47.07555389, 53.91043854, 149.5325928]",5
93,"[53.16075134, 77.81087494, 171.5006256]",7
123,"[36.22252274, 74.77946472, 129.6763153]",2
116,"[33.36973572, 85.51229858, 126.1075974]",5
85,"[46.25086975, 81.35145569, 166.1690979]",7
69,"[37.74136353, 88.42960358, 152.3104248]",3
71,"[42.56768036, 109.0180054, 158.2352905]",9
64,"[53.52826309, 158.8329773, 158.2172852]",2
61,"[55.12334442, 175.8678894, 138.8725739]",3
20,"[46.10832214, 142.8703003, 125.5641327]",1
77,"[40.96482849, 84.51644135, 159.3578491]",3
111,"[37.79614639, 122.8765488, 130.7914734]",3
119,"[35.56945419, 117.6499405, 136.7276917]",1
55,"[66.18732452, 184.2788849, 136.6307373]",2
56,"[61.64362335, 180.326355, 143.5522919]",1
57,"[59.63084793, 175.063736, 149.9863586]",3
40,"[54.50421906, 66.29293823, 72.03175354]",1
76,"[38.3068924, 73.96008301, 156.2806091]",7
45,"[120.5362473, 44.73541641, 83.17926025]",9
39,"[59.72214127, 62.80955505, 65.33495331]",2
13,"[51.21172333, 155.2554626, 116.4246902]",3
18,"[53.5224762, 150.5645752, 113.4942017]",2
112,"[40.14897156, 133.2258759, 134.9244537]",1
104,"[40.50615692, 136.464386, 128.2812347]",1
99,"[36.16242981, 88.72817993, 110.6157074]",1
108,"[32.76828384, 91.1727829, 119.5847473]",1
86,"[47.44469452, 90.94404602, 168.2020874]",1
109,"[32.83508301, 101.4815216, 122.8433228]",1
36,"[107.0545807, 74.76141357, 58.13384247]",1
49,"[72.50814819, 32.36366272, 97.06402588]",1
114,"[38.50005341, 71.65307617, 119.7648926]",2
124,"[36.35282898, 82.27735138, 133.3805237]",2
48,"[77.87369537, 31.06650925, 91.66160583]",2
35,"[118.2353973, 74.29934692, 55.05889893]",2
46,"[110.8739014, 43.19855499, 86.39677429]",1
31,"[42.35289764, 114.7987442, 84.63811493]",1
50,"[66.89678955, 34.4570961, 102.012619]",1
51,"[61.27109528, 37.51719284, 105.8707733]",1
16,"[64.83947754, 153.8170471, 109.4194031]",1
