electrode_number,E_EEG,E_Brain,position,X,Y,Z,label
1,'E1',IH01,"[101.984130859375, 38.1419219970703, 144.605834960938]",101.984130859375,38.1419219970703,144.605834960938,0
2,'E2',IH02,"[101.242546081543, 40.6975860595703, 149.669647216797]",101.242546081543,40.6975860595703,149.669647216797,0
3,'E3',IH03,"[100.978820800781, 43.3229942321777, 154.286849975586]",100.978820800781,43.3229942321777,154.286849975586,0
4,'E4',IH04,"[100.67756652832, 47.3882255554199, 155.225769042969]",100.67756652832,47.3882255554199,155.225769042969,0
5,'E5',IH05,"[100.52515411377, 51.6133613586426, 155.334106445313]",100.52515411377,51.6133613586426,155.334106445313,0
6,'E6',IH06,"[99.5772705078125, 56.0726928710938, 156.48454284668]",99.5772705078125,56.0726928710938,156.48454284668,0
7,'E7',IH07,"[99.9833602905273, 56.6283912658691, 165.003814697266]",99.9833602905273,56.6283912658691,165.003814697266,0
8,'E8',IH08,"[99.9427261352539, 60.9487724304199, 167.413940429688]",99.9427261352539,60.9487724304199,167.413940429688,0
9,'E9',IH09,"[99.365837097168, 67.3244247436523, 167.532928466797]",99.365837097168,67.3244247436523,167.532928466797,0
10,'E10',IH10,"[99.4912948608398, 72.5401458740234, 168.573150634766]",99.4912948608398,72.5401458740234,168.573150634766,0
11,'E11',PS01,"[72.3084945678711, 121.406051635742, 88.7042083740234]",72.3084945678711,121.406051635742,88.7042083740234,1
12,'E12',PS02,"[69.8160018920898, 126.978317260742, 86.7670745849609]",69.8160018920898,126.978317260742,86.7670745849609,1
13,'E13',PS03,"[67.5508117675781, 130.848159790039, 94.4695129394531]",67.5508117675781,130.848159790039,94.4695129394531,1
14,'E14',PS04,"[61.5798492431641, 134.946472167969, 91.044075012207]",61.5798492431641,134.946472167969,91.044075012207,1
15,'E15',PS05,"[55.2489738464356, 136.204116821289, 91.9181518554688]",55.2489738464356,136.204116821289,91.9181518554688,1
16,'E16',PS06,"[48.3167533874512, 135.347625732422, 98.2431564331055]",48.3167533874512,135.347625732422,98.2431564331055,1
19,'E19',AT01,"[65.8437271118164, 106.778137207031, 91.9921951293945]",65.8437271118164,106.778137207031,91.9921951293945,1
20,'E20',AT02,"[58.1225624084473, 109.513114929199, 90.2316589355469]",58.1225624084473,109.513114929199,90.2316589355469,1
21,'E21',AT03,"[47.0542945861816, 111.892288208008, 85.1425628662109]",47.0542945861816,111.892288208008,85.1425628662109,1
22,'E22',AT04,"[42.8305282592773, 112.878753662109, 90.5952835083008]",42.8305282592773,112.878753662109,90.5952835083008,1
23,'E23',AT05,"[38.8051338195801, 113.187507629395, 97.3110656738281]",38.8051338195801,113.187507629395,97.3110656738281,1
24,'E24',AT06,"[32.8207015991211, 112.99169921875, 103.080451965332]",32.8207015991211,112.99169921875,103.080451965332,1
25,'E25',PT01,"[75.7424697875977, 87.7106170654297, 98.2921524047852]",75.7424697875977,87.7106170654297,98.2921524047852,1
26,'E26',PT02,"[65.7786178588867, 88.414924621582, 92.3147277832031]",65.7786178588867,88.414924621582,92.3147277832031,1
27,'E27',PT03,"[56.3520278930664, 89.2680358886719, 86.4638214111328]",56.3520278930664,89.2680358886719,86.4638214111328,1
28,'E28',PT04,"[47.8209991455078, 89.4002227783203, 83.0579605102539]",47.8209991455078,89.4002227783203,83.0579605102539,1
29,'E29',PT05,"[43.0746269226074, 90.6991653442383, 89.5039291381836]",43.0746269226074,90.6991653442383,89.5039291381836,1
30,'E30',PT06,"[33.5384559631348, 91.6001586914063, 92.7185134887695]",33.5384559631348,91.6001586914063,92.7185134887695,1
31,'E31',PT07,"[28.6520729064941, 92.989013671875, 99.2369079589844]",28.6520729064941,92.989013671875,99.2369079589844,1
32,'E32',PT08,"[25.8711910247803, 93.02734375, 105.15657043457]",25.8711910247803,93.02734375,105.15657043457,1
33,'E33',LO01,"[36.9722938537598, 50.7772178649902, 122.159034729004]",36.9722938537598,50.7772178649902,122.159034729004,2
34,'E34',LO02,"[34.8478813171387, 53.6679344177246, 125.448822021484]",34.8478813171387,53.6679344177246,125.448822021484,2
35,'E35',LO03,"[34.5081100463867, 56.8234176635742, 128.344909667969]",34.5081100463867,56.8234176635742,128.344909667969,2
36,'E36',LO04,"[33.2982063293457, 60.6213150024414, 131.660675048828]",33.2982063293457,60.6213150024414,131.660675048828,2
37,'E37',LO05,"[32.4637756347656, 64.0343933105469, 134.894668579102]",32.4637756347656,64.0343933105469,134.894668579102,2
38,'E38',LO06,"[36.739688873291, 66.6353988647461, 136.624542236328]",36.739688873291,66.6353988647461,136.624542236328,2
39,'E39',LO07,"[32.0872573852539, 69.5591430664063, 140.101928710938]",32.0872573852539,69.5591430664063,140.101928710938,2
40,'E40',LO08,"[33.2487678527832, 73.1297149658203, 142.442321777344]",33.2487678527832,73.1297149658203,142.442321777344,2
41,'E41',FP01,"[68.0660095214844, 88.5458831787109, 171.573776245117]",68.0660095214844,88.5458831787109,171.573776245117,2
42,'E42',FP02,"[63.631290435791, 83.9991455078125, 171.071548461914]",63.631290435791,83.9991455078125,171.071548461914,2
43,'E43',FP03,"[60.6884078979492, 79.6847229003906, 169.090301513672]",60.6884078979492,79.6847229003906,169.090301513672,2
44,'E44',FP04,"[59.4411430358887, 75.7375564575195, 166.383911132813]",59.4411430358887,75.7375564575195,166.383911132813,2
45,'E45',FP05,"[55.730339050293, 71.6744232177734, 164.984832763672]",55.730339050293,71.6744232177734,164.984832763672,2
46,'E46',FP06,"[54.1636810302734, 67.4103393554688, 162.784301757813]",54.1636810302734,67.4103393554688,162.784301757813,2
47,'E47',FP07,"[53.2562408447266, 62.4887924194336, 159.836944580078]",53.2562408447266,62.4887924194336,159.836944580078,2
48,'E48',FP08,"[52.8222045898438, 58.2386093139648, 157.386627197266]",52.8222045898438,58.2386093139648,157.386627197266,2
49,'E49',FP09,"[64.1989135742188, 91.8558197021484, 169.192169189453]",64.1989135742188,91.8558197021484,169.192169189453,2
50,'E50',FP10,"[60.9858932495117, 87.2294235229492, 167.531036376953]",60.9858932495117,87.2294235229492,167.531036376953,2
51,'E51',FP11,"[57.0619201660156, 82.2806625366211, 166.914245605469]",57.0619201660156,82.2806625366211,166.914245605469,2
52,'E52',FP12,"[55.1062850952148, 78.3853912353516, 164.66911315918]",55.1062850952148,78.3853912353516,164.66911315918,2
53,'E53',FP13,"[51.7425003051758, 74.1909332275391, 163.405380249023]",51.7425003051758,74.1909332275391,163.405380249023,2
54,'E54',FP14,"[50.7001647949219, 69.4605178833008, 161.067398071289]",50.7001647949219,69.4605178833008,161.067398071289,2
