start,startPosition,frequency
118,"[32.5107193, 107.2374268, 133.7828674]",3
83,"[46.60237122, 60.04891205, 160.5887146]",17
72,"[44.20722198, 119.0409088, 160.3303223]",14
64,"[53.52826309, 158.8329773, 158.2172852]",7
59,"[61.01449585, 164.7238617, 161.7114258]",17
57,"[59.63084793, 175.063736, 149.9863586]",6
58,"[59.44711685, 171.0057678, 156.4195709]",14
63,"[51.2840004, 165.7919006, 152.2144318]",10
62,"[52.44224548, 170.8167877, 146.372757]",8
14,"[48.48796844, 151.4735107, 121.1464615]",2
88,"[54.26541901, 110.3771667, 173.8651886]",8
87,"[49.53035736, 99.92474365, 171.1462555]",7
60,"[58.11058807, 179.6183167, 132.4685059]",4
80,"[47.95235062, 114.578186, 168.8221741]",6
79,"[46.01379776, 104.5724182, 166.0837097]",11
71,"[42.56768036, 109.0180054, 158.2352905]",11
78,"[43.03504944, 94.88861084, 162.0728912]",12
70,"[38.61865616, 99.38539124, 155.8343048]",11
77,"[40.96482849, 84.51644135, 159.3578491]",7
84,"[45.83430099, 71.89839172, 163.7348938]",7
91,"[53.56635666, 57.96323395, 167.4579163]",5
111,"[37.79614639, 122.8765488, 130.7914734]",2
92,"[51.61279297, 68.16239166, 169.7157898]",10
55,"[66.18732452, 184.2788849, 136.6307373]",4
116,"[33.36973572, 85.51229858, 126.1075974]",7
39,"[59.72214127, 62.80955505, 65.33495331]",2
110,"[33.60301971, 113.0844498, 127.6641922]",3
76,"[38.3068924, 73.96008301, 156.2806091]",6
124,"[36.35282898, 82.27735138, 133.3805237]",8
16,"[64.83947754, 153.8170471, 109.4194031]",4
75,"[41.41545105, 63.59588242, 153.7163696]",7
81,"[58.59506226, 43.15229034, 152.1497955]",11
74,"[47.07555389, 53.91043854, 149.5325928]",4
45,"[120.5362473, 44.73541641, 83.17926025]",5
93,"[53.16075134, 77.81087494, 171.5006256]",1
108,"[32.76828384, 91.1727829, 119.5847473]",1
90,"[57.71652222, 49.43274689, 163.1681366]",2
106,"[37.85590363, 75.73469543, 113.4111862]",1
119,"[35.56945419, 117.6499405, 136.7276917]",3
85,"[46.25086975, 81.35145569, 166.1690979]",5
89,"[63.97809601, 42.09529877, 158.5378723]",5
19,"[49.99071884, 146.2094421, 119.2557526]",2
13,"[51.21172333, 155.2554626, 116.4246902]",4
18,"[53.5224762, 150.5645752, 113.4942017]",2
95,"[56.42819214, 97.26829529, 177.4585419]",2
61,"[55.12334442, 175.8678894, 138.8725739]",4
15,"[44.11364746, 149.526535, 128.9738159]",2
104,"[40.50615692, 136.464386, 128.2812347]",1
112,"[40.14897156, 133.2258759, 134.9244537]",1
102,"[35.51337051, 117.5408096, 121.3166046]",2
11,"[60.28677368, 160.8241577, 110.6608505]",1
69,"[37.74136353, 88.42960358, 152.3104248]",2
40,"[54.50421906, 66.29293823, 72.03175354]",2
73,"[52.19902039, 45.62580872, 145.0971375]",1
82,"[51.80251312, 50.55010223, 156.5683746]",2
