start,startPosition,frequency
81,"[58.59506226, 43.15229034, 152.1497955]",20
75,"[41.41545105, 63.59588242, 153.7163696]",17
93,"[53.16075134, 77.81087494, 171.5006256]",14
110,"[33.60301971, 113.0844498, 127.6641922]",1
60,"[58.11058807, 179.6183167, 132.4685059]",4
39,"[59.72214127, 62.80955505, 65.33495331]",5
76,"[38.3068924, 73.96008301, 156.2806091]",8
116,"[33.36973572, 85.51229858, 126.1075974]",4
91,"[53.56635666, 57.96323395, 167.4579163]",29
45,"[120.5362473, 44.73541641, 83.17926025]",5
83,"[46.60237122, 60.04891205, 160.5887146]",57
84,"[45.83430099, 71.89839172, 163.7348938]",37
92,"[51.61279297, 68.16239166, 169.7157898]",40
108,"[32.76828384, 91.1727829, 119.5847473]",1
90,"[57.71652222, 49.43274689, 163.1681366]",6
85,"[46.25086975, 81.35145569, 166.1690979]",4
59,"[61.01449585, 164.7238617, 161.7114258]",12
63,"[51.2840004, 165.7919006, 152.2144318]",5
62,"[52.44224548, 170.8167877, 146.372757]",6
78,"[43.03504944, 94.88861084, 162.0728912]",7
70,"[38.61865616, 99.38539124, 155.8343048]",8
80,"[47.95235062, 114.578186, 168.8221741]",4
79,"[46.01379776, 104.5724182, 166.0837097]",8
61,"[55.12334442, 175.8678894, 138.8725739]",2
56,"[61.64362335, 180.326355, 143.5522919]",1
77,"[40.96482849, 84.51644135, 159.3578491]",2
89,"[63.97809601, 42.09529877, 158.5378723]",7
58,"[59.44711685, 171.0057678, 156.4195709]",6
72,"[44.20722198, 119.0409088, 160.3303223]",16
95,"[56.42819214, 97.26829529, 177.4585419]",1
124,"[36.35282898, 82.27735138, 133.3805237]",4
19,"[49.99071884, 146.2094421, 119.2557526]",1
67,"[38.39342117, 68.10595703, 146.1607666]",1
82,"[51.80251312, 50.55010223, 156.5683746]",1
69,"[37.74136353, 88.42960358, 152.3104248]",4
11,"[60.28677368, 160.8241577, 110.6608505]",1
71,"[42.56768036, 109.0180054, 158.2352905]",8
64,"[53.52826309, 158.8329773, 158.2172852]",1
88,"[54.26541901, 110.3771667, 173.8651886]",1
87,"[49.53035736, 99.92474365, 171.1462555]",3
15,"[44.11364746, 149.526535, 128.9738159]",1
14,"[48.48796844, 151.4735107, 121.1464615]",1
16,"[64.83947754, 153.8170471, 109.4194031]",1
74,"[47.07555389, 53.91043854, 149.5325928]",1
68,"[34.91020966, 78.02272034, 149.7407227]",1
119,"[35.56945419, 117.6499405, 136.7276917]",1
53,"[50.07582855, 47.61004257, 114.8957672]",1
