start,startPosition,frequency
39,"[59.72214127, 62.80955505, 65.33495331]",1
124,"[36.35282898, 82.27735138, 133.3805237]",1
116,"[33.36973572, 85.51229858, 126.1075974]",1
58,"[59.44711685, 171.0057678, 156.4195709]",1
63,"[51.2840004, 165.7919006, 152.2144318]",1
62,"[52.44224548, 170.8167877, 146.372757]",1
79,"[46.01379776, 104.5724182, 166.0837097]",2
71,"[42.56768036, 109.0180054, 158.2352905]",3
72,"[44.20722198, 119.0409088, 160.3303223]",1
95,"[56.42819214, 97.26829529, 177.4585419]",1
89,"[63.97809601, 42.09529877, 158.5378723]",1
81,"[58.59506226, 43.15229034, 152.1497955]",3
41,"[49.3511467, 70.0541687, 80.31544495]",1
45,"[120.5362473, 44.73541641, 83.17926025]",4
83,"[46.60237122, 60.04891205, 160.5887146]",3
93,"[53.16075134, 77.81087494, 171.5006256]",3
84,"[45.83430099, 71.89839172, 163.7348938]",8
92,"[51.61279297, 68.16239166, 169.7157898]",9
87,"[49.53035736, 99.92474365, 171.1462555]",1
67,"[38.39342117, 68.10595703, 146.1607666]",1
75,"[41.41545105, 63.59588242, 153.7163696]",2
74,"[47.07555389, 53.91043854, 149.5325928]",1
76,"[38.3068924, 73.96008301, 156.2806091]",1
55,"[66.18732452, 184.2788849, 136.6307373]",1
82,"[51.80251312, 50.55010223, 156.5683746]",1
11,"[60.28677368, 160.8241577, 110.6608505]",1
51,"[61.27109528, 37.51719284, 105.8707733]",1
