start,startPosition,frequency
92,"[51.61279297, 68.16239166, 169.7157898]",48
45,"[120.5362473, 44.73541641, 83.17926025]",5
81,"[58.59506226, 43.15229034, 152.1497955]",17
91,"[53.56635666, 57.96323395, 167.4579163]",14
84,"[45.83430099, 71.89839172, 163.7348938]",28
83,"[46.60237122, 60.04891205, 160.5887146]",48
89,"[63.97809601, 42.09529877, 158.5378723]",5
72,"[44.20722198, 119.0409088, 160.3303223]",17
60,"[58.11058807, 179.6183167, 132.4685059]",5
64,"[53.52826309, 158.8329773, 158.2172852]",1
39,"[59.72214127, 62.80955505, 65.33495331]",10
71,"[42.56768036, 109.0180054, 158.2352905]",7
70,"[38.61865616, 99.38539124, 155.8343048]",8
79,"[46.01379776, 104.5724182, 166.0837097]",7
80,"[47.95235062, 114.578186, 168.8221741]",5
78,"[43.03504944, 94.88861084, 162.0728912]",6
77,"[40.96482849, 84.51644135, 159.3578491]",3
85,"[46.25086975, 81.35145569, 166.1690979]",3
59,"[61.01449585, 164.7238617, 161.7114258]",15
58,"[59.44711685, 171.0057678, 156.4195709]",7
116,"[33.36973572, 85.51229858, 126.1075974]",6
87,"[49.53035736, 99.92474365, 171.1462555]",4
75,"[41.41545105, 63.59588242, 153.7163696]",20
76,"[38.3068924, 73.96008301, 156.2806091]",6
111,"[37.79614639, 122.8765488, 130.7914734]",1
62,"[52.44224548, 170.8167877, 146.372757]",5
53,"[50.07582855, 47.61004257, 114.8957672]",1
41,"[49.3511467, 70.0541687, 80.31544495]",2
40,"[54.50421906, 66.29293823, 72.03175354]",2
93,"[53.16075134, 77.81087494, 171.5006256]",5
63,"[51.2840004, 165.7919006, 152.2144318]",6
55,"[66.18732452, 184.2788849, 136.6307373]",2
95,"[56.42819214, 97.26829529, 177.4585419]",2
11,"[60.28677368, 160.8241577, 110.6608505]",1
124,"[36.35282898, 82.27735138, 133.3805237]",5
48,"[77.87369537, 31.06650925, 91.66160583]",3
74,"[47.07555389, 53.91043854, 149.5325928]",3
123,"[36.22252274, 74.77946472, 129.6763153]",2
115,"[35.52667618, 78.30808258, 122.7509766]",1
67,"[38.39342117, 68.10595703, 146.1607666]",2
110,"[33.60301971, 113.0844498, 127.6641922]",1
88,"[54.26541901, 110.3771667, 173.8651886]",1
57,"[59.63084793, 175.063736, 149.9863586]",2
61,"[55.12334442, 175.8678894, 138.8725739]",1
13,"[51.21172333, 155.2554626, 116.4246902]",1
18,"[53.5224762, 150.5645752, 113.4942017]",3
16,"[64.83947754, 153.8170471, 109.4194031]",3
15,"[44.11364746, 149.526535, 128.9738159]",1
14,"[48.48796844, 151.4735107, 121.1464615]",1
90,"[57.71652222, 49.43274689, 163.1681366]",1
