start,startPosition,frequency
83,"[46.60237122, 60.04891205, 160.5887146]",44
84,"[45.83430099, 71.89839172, 163.7348938]",19
92,"[51.61279297, 68.16239166, 169.7157898]",28
81,"[58.59506226, 43.15229034, 152.1497955]",16
89,"[63.97809601, 42.09529877, 158.5378723]",7
62,"[52.44224548, 170.8167877, 146.372757]",3
85,"[46.25086975, 81.35145569, 166.1690979]",3
93,"[53.16075134, 77.81087494, 171.5006256]",5
75,"[41.41545105, 63.59588242, 153.7163696]",24
76,"[38.3068924, 73.96008301, 156.2806091]",6
72,"[44.20722198, 119.0409088, 160.3303223]",19
59,"[61.01449585, 164.7238617, 161.7114258]",9
91,"[53.56635666, 57.96323395, 167.4579163]",16
58,"[59.44711685, 171.0057678, 156.4195709]",8
79,"[46.01379776, 104.5724182, 166.0837097]",7
87,"[49.53035736, 99.92474365, 171.1462555]",5
71,"[42.56768036, 109.0180054, 158.2352905]",6
70,"[38.61865616, 99.38539124, 155.8343048]",10
78,"[43.03504944, 94.88861084, 162.0728912]",7
74,"[47.07555389, 53.91043854, 149.5325928]",9
95,"[56.42819214, 97.26829529, 177.4585419]",2
80,"[47.95235062, 114.578186, 168.8221741]",2
82,"[51.80251312, 50.55010223, 156.5683746]",3
119,"[35.56945419, 117.6499405, 136.7276917]",2
118,"[32.5107193, 107.2374268, 133.7828674]",1
55,"[66.18732452, 184.2788849, 136.6307373]",3
77,"[40.96482849, 84.51644135, 159.3578491]",6
64,"[53.52826309, 158.8329773, 158.2172852]",2
63,"[51.2840004, 165.7919006, 152.2144318]",3
61,"[55.12334442, 175.8678894, 138.8725739]",1
60,"[58.11058807, 179.6183167, 132.4685059]",2
19,"[49.99071884, 146.2094421, 119.2557526]",1
14,"[48.48796844, 151.4735107, 121.1464615]",1
100,"[35.30825043, 95.48200989, 113.3798218]",1
111,"[37.79614639, 122.8765488, 130.7914734]",1
39,"[59.72214127, 62.80955505, 65.33495331]",11
40,"[54.50421906, 66.29293823, 72.03175354]",1
124,"[36.35282898, 82.27735138, 133.3805237]",3
116,"[33.36973572, 85.51229858, 126.1075974]",4
96,"[61.06736755, 107.1714401, 179.7997131]",1
86,"[47.44469452, 90.94404602, 168.2020874]",1
90,"[57.71652222, 49.43274689, 163.1681366]",1
48,"[77.87369537, 31.06650925, 91.66160583]",1
113,"[43.21297455, 64.83757019, 116.3175049]",1
108,"[32.76828384, 91.1727829, 119.5847473]",1
13,"[51.21172333, 155.2554626, 116.4246902]",1
50,"[66.89678955, 34.4570961, 102.012619]",1
