start,startPosition,frequency
78,"[43.03504944, 94.88861084, 162.0728912]",11
91,"[53.56635666, 57.96323395, 167.4579163]",15
84,"[45.83430099, 71.89839172, 163.7348938]",20
92,"[51.61279297, 68.16239166, 169.7157898]",20
59,"[61.01449585, 164.7238617, 161.7114258]",15
40,"[54.50421906, 66.29293823, 72.03175354]",6
39,"[59.72214127, 62.80955505, 65.33495331]",27
93,"[53.16075134, 77.81087494, 171.5006256]",13
58,"[59.44711685, 171.0057678, 156.4195709]",10
85,"[46.25086975, 81.35145569, 166.1690979]",5
83,"[46.60237122, 60.04891205, 160.5887146]",23
116,"[33.36973572, 85.51229858, 126.1075974]",5
70,"[38.61865616, 99.38539124, 155.8343048]",8
79,"[46.01379776, 104.5724182, 166.0837097]",11
72,"[44.20722198, 119.0409088, 160.3303223]",15
80,"[47.95235062, 114.578186, 168.8221741]",3
88,"[54.26541901, 110.3771667, 173.8651886]",2
64,"[53.52826309, 158.8329773, 158.2172852]",3
77,"[40.96482849, 84.51644135, 159.3578491]",10
76,"[38.3068924, 73.96008301, 156.2806091]",8
81,"[58.59506226, 43.15229034, 152.1497955]",15
90,"[57.71652222, 49.43274689, 163.1681366]",6
118,"[32.5107193, 107.2374268, 133.7828674]",3
87,"[49.53035736, 99.92474365, 171.1462555]",5
82,"[51.80251312, 50.55010223, 156.5683746]",7
63,"[51.2840004, 165.7919006, 152.2144318]",8
75,"[41.41545105, 63.59588242, 153.7163696]",18
55,"[66.18732452, 184.2788849, 136.6307373]",3
89,"[63.97809601, 42.09529877, 158.5378723]",6
71,"[42.56768036, 109.0180054, 158.2352905]",7
19,"[49.99071884, 146.2094421, 119.2557526]",1
57,"[59.63084793, 175.063736, 149.9863586]",2
62,"[52.44224548, 170.8167877, 146.372757]",4
124,"[36.35282898, 82.27735138, 133.3805237]",4
74,"[47.07555389, 53.91043854, 149.5325928]",9
41,"[49.3511467, 70.0541687, 80.31544495]",2
100,"[35.30825043, 95.48200989, 113.3798218]",4
30,"[47.07077408, 112.9485016, 79.29278564]",2
60,"[58.11058807, 179.6183167, 132.4685059]",2
61,"[55.12334442, 175.8678894, 138.8725739]",1
110,"[33.60301971, 113.0844498, 127.6641922]",3
16,"[64.83947754, 153.8170471, 109.4194031]",1
45,"[120.5362473, 44.73541641, 83.17926025]",1
48,"[77.87369537, 31.06650925, 91.66160583]",1
119,"[35.56945419, 117.6499405, 136.7276917]",2
95,"[56.42819214, 97.26829529, 177.4585419]",1
69,"[37.74136353, 88.42960358, 152.3104248]",1
