electrode_number,E_EEG,E_Brain,a,b,c,position_marker,position,label,name
103,E103,IFP7,138.96732139345215,235.7090539751587,243.61384005568846,Y,"[138.96732139345215, 235.7090539751587, 243.61384005568846]",501,L. Insula
104,E104,IFP8,138.69225883345214,245.27258397515868,246.88483615568848,Y,"[138.69225883345214, 245.27258397515868, 246.88483615568848]",101,L. Frontal Lobe
105,E105,IFP9,140.19862175345216,177.05235385515869,228.7657947556885,Y,"[140.19862175345216, 177.05235385515869, 228.7657947556885]",301,L. Temporal Lobe
106,E106,IFP10,136.04200554345215,184.54289340515868,232.01478765568848,Y,"[136.04200554345215, 184.54289340515868, 232.01478765568848]",301,L. Temporal Lobe
107,E107,IFP11,133.52503013345216,192.3476648351587,235.31199075568847,Y,"[133.52503013345216, 192.3476648351587, 235.31199075568847]",301,L. Temporal Lobe
108,E108,IFP12,130.95438575345216,199.9809808751587,238.18834875568848,Y,"[130.95438575345216, 199.9809808751587, 238.18834875568848]",301,L. Temporal Lobe
109,E109,IFP13,131.02118492345215,210.2897195751587,241.4469242556885,Y,"[131.02118492345215, 210.2897195751587, 241.4469242556885]",301,L. Temporal Lobe
110,E110,IFP14,131.78912162345216,221.8926477751587,246.26779365568848,Y,"[131.78912162345216, 221.8926477751587, 246.26779365568848]",101,L. Frontal Lobe
111,E111,IFP15,135.98224830345214,231.6847467751587,249.39507485568848,Y,"[135.98224830345214, 231.6847467751587, 249.39507485568848]",101,L. Frontal Lobe
112,E112,IFP16,138.33507347345216,242.0340738751587,253.52805515568846,Y,"[138.33507347345216, 242.0340738751587, 253.52805515568846]",101,L. Frontal Lobe
113,E113,IFP17,141.39907646345216,173.6457681651587,234.9211063556885,Y,"[141.39907646345216, 173.6457681651587, 234.9211063556885]",301,L. Temporal Lobe
114,E114,IFP18,136.68615532345214,180.4612741451587,238.36849405568847,Y,"[136.68615532345214, 180.4612741451587, 238.36849405568847]",301,L. Temporal Lobe
115,E115,IFP19,133.71277809345216,187.1162805551587,241.35457805568848,Y,"[133.71277809345216, 187.1162805551587, 241.35457805568848]",301,L. Temporal Lobe
116,E116,IFP20,131.55583763345214,194.32049655515868,244.71119885568848,Y,"[131.55583763345214, 194.32049655515868, 244.71119885568848]",301,L. Temporal Lobe
117,E117,IFP21,131.34725761345214,205.0437021251587,248.2513675556885,Y,"[131.34725761345214, 205.0437021251587, 248.2513675556885]",301,L. Temporal Lobe
118,E118,IFP22,130.69682121345215,216.04562477515867,252.38646885568846,Y,"[130.69682121345215, 216.04562477515867, 252.38646885568846]",101,L. Frontal Lobe
119,E119,IFP23,133.75555610345214,226.4581384751587,255.33129315568848,Y,"[133.75555610345214, 226.4581384751587, 255.33129315568848]",101,L. Frontal Lobe
120,E120,IFP24,137.90659141345213,236.92617897515868,259.7917575556885,Y,"[137.90659141345213, 236.92617897515868, 259.7917575556885]",101,L. Frontal Lobe
121,E121,IFP25,143.08821678345214,169.96267795515868,240.19509315568848,Y,"[143.08821678345214, 169.96267795515868, 240.19509315568848]",301,L. Temporal Lobe
122,E122,IFP26,137.53613472345216,176.0972604751587,244.61719705568848,Y,"[137.53613472345216, 176.0972604751587, 244.61719705568848]",301,L. Temporal Lobe
123,E123,IFP27,134.40862465345214,183.5876626951587,248.27991675568848,Y,"[134.40862465345214, 183.5876626951587, 248.27991675568848]",301,L. Temporal Lobe
124,E124,IFP28,134.53893089345215,191.0855493551587,251.98412515568847,Y,"[134.53893089345215, 191.0855493551587, 251.98412515568847]",201,L. Parietal Lobe
