electrode_number,E_Brain,X,Y,Z,position_marker,E_EEG,position,label
17,SFI,72.1602401733398,174.930633544922,151.406066894531,Y,E17,"[72.1602401733398, 174.930633544922, 151.406066894531]",2
18,SF,68.9037780761719,169.224990844727,152.038833618164,Y,E18,"[68.9037780761719, 169.224990844727, 152.038833618164]",2
19,SF,65.7881393432617,162.271057128906,153.842468261719,Y,E19,"[65.7881393432617, 162.271057128906, 153.842468261719]",2
20,SF,62.4260597229004,154.453430175781,154.945648193359,Y,E20,"[62.4260597229004, 154.453430175781, 154.945648193359]",2
21,SF,60.4105911254883,148.116058349609,157.6220703125,Y,E21,"[60.4105911254883, 148.116058349609, 157.6220703125]",2
22,SF,59.5581436157227,142.179077148438,158.338684082031,Y,E22,"[59.5581436157227, 142.179077148438, 158.338684082031]",2
23,SF,59.660888671875,136.026672363281,160.025299072266,Y,E23,"[59.660888671875, 136.026672363281, 160.025299072266]",2
24,SF,58.2647857666016,130.677978515625,161.775634765625,Y,E24,"[58.2647857666016, 130.677978515625, 161.775634765625]",2
26,SF,66.1818542480469,169.434585571289,146.274078369141,Y,E26,"[66.1818542480469, 169.434585571289, 146.274078369141]",2
27,SF,63.5367622375488,162.924423217773,148.504333496094,Y,E27,"[63.5367622375488, 162.924423217773, 148.504333496094]",2
28,SF,59.4920921325684,154.227355957031,149.340957641602,Y,E28,"[59.4920921325684, 154.227355957031, 149.340957641602]",2
29,SF,57.9838714599609,147.911956787109,151.544738769531,Y,E29,"[57.9838714599609, 147.911956787109, 151.544738769531]",2
30,SF,56.4822006225586,142.494842529297,152.984344482422,Y,E30,"[56.4822006225586, 142.494842529297, 152.984344482422]",2
31,SF,56.7101211547852,135.000671386719,154.915008544922,Y,E31,"[56.7101211547852, 135.000671386719, 154.915008544922]",2
32,SF,55.9335479736328,128.979965209961,155.66096496582,Y,E32,"[55.9335479736328, 128.979965209961, 155.66096496582]",2
33,SF,69.1534881591797,176.743194580078,137.278015136719,Y,E33,"[69.1534881591797, 176.743194580078, 137.278015136719]",2
34,SF,64.4123153686523,169.268661499023,139.149353027344,Y,E34,"[64.4123153686523, 169.268661499023, 139.149353027344]",2
35,SF,60.9909744262695,162.525833129883,141.406311035156,Y,E35,"[60.9909744262695, 162.525833129883, 141.406311035156]",2
36,SF,58.5594863891602,154.69580078125,142.623657226562,Y,E36,"[58.5594863891602, 154.69580078125, 142.623657226562]",2
37,SF,56.2932815551758,147.804016113281,144.171966552734,Y,E37,"[56.2932815551758, 147.804016113281, 144.171966552734]",2
38,SF,55.555965423584,140.761383056641,146.221740722656,Y,E38,"[55.555965423584, 140.761383056641, 146.221740722656]",2
39,SF,55.5834350585938,133.324523925781,148.433532714844,Y,E39,"[55.5834350585938, 133.324523925781, 148.433532714844]",2
40,SF,55.7644844055176,127.487174987793,149.060928344727,Y,E40,"[55.7644844055176, 127.487174987793, 149.060928344727]",2
41,SF,68.7021102905273,175.923095703125,131.317794799805,Y,E41,"[68.7021102905273, 175.923095703125, 131.317794799805]",2
42,SF,64.4317474365234,169.109771728516,131.386001586914,Y,E42,"[64.4317474365234, 169.109771728516, 131.386001586914]",2
43,SF,60.5978622436523,161.586685180664,133.150573730469,Y,E43,"[60.5978622436523, 161.586685180664, 133.150573730469]",2
44,SF,57.840217590332,154.25114440918,135.269439697266,Y,E44,"[57.840217590332, 154.25114440918, 135.269439697266]",2
45,SF,56.0388946533203,147.298141479492,136.793258666992,Y,E45,"[56.0388946533203, 147.298141479492, 136.793258666992]",2
46,SF,55.1604080200195,140.846969604492,138.883117675781,Y,E46,"[55.1604080200195, 140.846969604492, 138.883117675781]",2
47,SF,55.6796722412109,133.485687255859,140.637985229492,Y,E47,"[55.6796722412109, 133.485687255859, 140.637985229492]",2
