electrode_number,E_Brain,X,Y,Z,position_marker,E_EEG,position
84,PF12,56.1215133666992,94.9123916625977,170.047561645508,Y,E84,"[56.1215133666992, 94.9123916625977, 170.047561645508]"
85,PF13,57.0874862670898,85.9356231689453,168.296264648438,Y,E85,"[57.0874862670898, 85.9356231689453, 168.296264648438]"
86,PF14,57.7116813659668,78.0407943725586,166.816741943359,Y,E86,"[57.7116813659668, 78.0407943725586, 166.816741943359]"
87,PF15,56.957389831543,70.2280654907227,165.070007324219,Y,E87,"[56.957389831543, 70.2280654907227, 165.070007324219]"
88,PF16,53.3382110595703,107.637084960938,165.450134277344,Y,E88,"[53.3382110595703, 107.637084960938, 165.450134277344]"
89,PF17,53.7717437744141,97.1682968139648,163.038818359375,Y,E89,"[53.7717437744141, 97.1682968139648, 163.038818359375]"
90,PF18,55.0044860839844,88.3092041015625,161.302825927734,Y,E90,"[55.0044860839844, 88.3092041015625, 161.302825927734]"
91,PF19,55.3889694213867,80.0342712402344,159.727966308594,Y,E91,"[55.3889694213867, 80.0342712402344, 159.727966308594]"
92,PF20,55.8210182189941,73.0829162597656,157.688522338867,Y,E92,"[55.8210182189941, 73.0829162597656, 157.688522338867]"
93,ST1,86.9535522460938,133.737152099609,86.8340301513672,Y,E93,"[86.9535522460938, 133.737152099609, 86.8340301513672]"
94,ST2,80.2722473144531,134.611236572266,86.0517501831055,Y,E94,"[80.2722473144531, 134.611236572266, 86.0517501831055]"
95,ST3,73.6798095703125,135.10107421875,88.068977355957,Y,E95,"[73.6798095703125, 135.10107421875, 88.068977355957]"
96,ST4,67.0952835083008,136.11882019043,92.135856628418,Y,E96,"[67.0952835083008, 136.11882019043, 92.135856628418]"
97,ST5,62.1291198730469,135.757171630859,98.8020629882812,Y,E97,"[62.1291198730469, 135.757171630859, 98.8020629882812]"
98,ST6,82.8837432861328,123.273544311523,86.0164947509766,Y,E98,"[82.8837432861328, 123.273544311523, 86.0164947509766]"
99,ST7,75.2488403320312,124.820259094238,85.2145843505859,Y,E99,"[75.2488403320312, 124.820259094238, 85.2145843505859]"
100,ST8,69.0505065917969,125.295883178711,86.6389541625977,Y,E100,"[69.0505065917969, 125.295883178711, 86.6389541625977]"
101,ST9,62.0740776062012,127.038291931152,94.2396697998047,Y,E101,"[62.0740776062012, 127.038291931152, 94.2396697998047]"
102,ST10,58.0985145568848,125.449493408203,100.966384887695,Y,E102,"[58.0985145568848, 125.449493408203, 100.966384887695]"
103,ST11,81.2646484375,114.538864135742,91.7096710205078,Y,E103,"[81.2646484375, 114.538864135742, 91.7096710205078]"
104,ST12,74.4102783203125,115.46989440918,90.408935546875,Y,E104,"[74.4102783203125, 115.46989440918, 90.408935546875]"
105,ST13,67.6446380615234,116.775939941406,86.9570922851562,Y,E105,"[67.6446380615234, 116.775939941406, 86.9570922851562]"
106,ST14,60.3379135131836,117.548210144043,91.2717895507812,Y,E106,"[60.3379135131836, 117.548210144043, 91.2717895507812]"
107,ST15,55.4520874023438,117.434524536133,99.4666442871094,Y,E107,"[55.4520874023438, 117.434524536133, 99.4666442871094]"
108,ST16,78.5848236083984,105.639297485352,98.2516174316406,Y,E108,"[78.5848236083984, 105.639297485352, 98.2516174316406]"
109,ST17,71.6442260742188,106.200912475586,97.8644561767578,Y,E109,"[71.6442260742188, 106.200912475586, 97.8644561767578]"
110,ST18,64.7511901855469,107.125915527344,92.9366455078125,Y,E110,"[64.7511901855469, 107.125915527344, 92.9366455078125]"
111,ST19,56.3232727050781,109.10791015625,93.3737106323242,Y,E111,"[56.3232727050781, 109.10791015625, 93.3737106323242]"
112,ST20,53.4413681030273,110.396095275879,99.9279174804688,Y,E112,"[53.4413681030273, 110.396095275879, 99.9279174804688]"
